"Age"	"Player"	"DATE"	"Event"	"Winner"
31.0958904109589	"Pete Sampras"	2002-09-08	"US Open"	"Winner"
32.7671232876712	"Andre Agassi"	2003-01-26	"Australian Open"	"Winner"
23.3342465753425	"Juan Carlos Ferrero"	2003-06-08	"French Open"	"Winner"
21.9232876712329	"Roger Federer"	2003-07-06	"Wimbledon"	"Winner"
21.0356164383562	"Andy Roddick"	2003-09-07	"US Open"	"Winner"
22.4986301369863	"Roger Federer"	2004-02-01	"Australian Open"	"Winner"
25.5095890410959	"Gaston Gaudio"	2004-06-06	"French Open"	"Winner"
22.9205479452055	"Roger Federer"	2004-07-04	"Wimbledon"	"Winner"
23.1123287671233	"Roger Federer"	2004-09-12	"US Open"	"Winner"
25.027397260274	"Marat Safin"	2005-01-30	"Australian Open"	"Winner"
19.0191780821918	"Rafael Nadal"	2005-06-05	"French Open"	"Winner"
23.9178082191781	"Roger Federer"	2005-07-03	"Wimbledon"	"Winner"
24.1095890410959	"Roger Federer"	2005-09-11	"US Open"	"Winner"
24.4931506849315	"Roger Federer"	2006-01-29	"Australian Open"	"Winner"
20.0356164383562	"Rafael Nadal"	2006-06-11	"French Open"	"Winner"
24.9342465753425	"Roger Federer"	2006-07-09	"Wimbledon"	"Winner"
25.1068493150685	"Roger Federer"	2006-09-10	"US Open"	"Winner"
25.4904109589041	"Roger Federer"	2007-01-28	"Australian Open"	"Winner"
21.0328767123288	"Rafael Nadal"	2007-06-10	"French Open"	"Winner"
25.9315068493151	"Roger Federer"	2007-07-08	"Wimbledon"	"Winner"
26.1041095890411	"Roger Federer"	2007-09-09	"US Open"	"Winner"
20.6986301369863	"Novak Djokovic"	2008-01-27	"Australian Open"	"Winner"
22.0301369863014	"Rafael Nadal"	2008-06-08	"French Open"	"Winner"
22.1068493150685	"Rafael Nadal"	2008-07-06	"Wimbledon"	"Winner"
27.1041095890411	"Roger Federer"	2008-09-08	"US Open"	"Winner"
22.6821917808219	"Rafael Nadal"	2009-02-01	"Australian Open"	"Winner"
27.8493150684932	"Roger Federer"	2009-06-07	"French Open"	"Winner"
27.9260273972603	"Roger Federer"	2009-07-05	"Wimbledon"	"Winner"
20.9890410958904	"Juan Martin Del Potro"	2009-09-14	"US Open"	"Winner"
28.5013698630137	"Roger Federer"	2010-01-31	"Australian Open"	"Winner"
24.0246575342466	"Rafael Nadal"	2010-06-06	"French Open"	"Winner"
24.1013698630137	"Rafael Nadal"	2010-07-04	"Wimbledon"	"Winner"
24.2958904109589	"Rafael Nadal"	2010-09-13	"US Open"	"Winner"
23.7095890410959	"Novak Djokovic"	2011-01-30	"Australian Open"	"Winner"
25.0219178082192	"Rafael Nadal"	2011-06-05	"French Open"	"Winner"
24.1315068493151	"Novak Djokovic"	2011-07-03	"Wimbledon"	"Winner"
24.3260273972603	"Novak Djokovic"	2011-09-12	"US Open"	"Winner"
24.7068493150685	"Novak Djokovic"	2012-01-29	"Australian Open"	"Winner"
26.041095890411	"Rafael Nadal"	2012-06-11	"French Open"	"Winner"
