"x","y","p","px","py"
-8.615,6.4,1.00316558655886e-236,0,0
-8.4409595959596,6.4,2.46273384462575e-230,8.0808080808081,0
-8.26691919191919,6.4,4.07588450541503e-224,16.1616161616162,0
-8.09287878787879,6.4,4.74194503153601e-218,24.2424242424242,0
-7.91883838383838,6.4,5.17782137749595e-212,32.3232323232323,0
-7.74479797979798,6.4,1.02556180955622e-205,40.4040404040404,0
-7.57075757575758,6.4,2.73150597252532e-199,48.4848484848485,0
-7.39671717171717,6.4,5.64731244321923e-193,56.5656565656566,0
-7.22267676767677,6.4,8.26470738222149e-187,64.6464646464646,0
-7.04863636363636,6.4,9.70172917319331e-181,72.7272727272727,0
-6.87459595959596,6.4,1.31335158041964e-174,80.8080808080808,0
-6.70055555555556,6.4,2.27528088309623e-168,88.8888888888889,0
-6.52651515151515,6.4,3.47654199403804e-162,96.969696969697,0
-6.35247474747475,6.4,3.78700259801134e-156,105.050505050505,0
-6.17843434343434,6.4,2.79680187722904e-150,113.131313131313,0
-6.00439393939394,6.4,1.38750071699312e-144,121.212121212121,0
-5.83035353535354,6.4,4.61645342894955e-139,129.292929292929,0
-5.65631313131313,6.4,1.02983063440832e-133,137.373737373737,0
-5.48227272727273,6.4,1.54022514571652e-128,145.454545454545,0
-5.30823232323232,6.4,1.54440082242226e-123,153.535353535354,0
-5.13419191919192,6.4,1.03822772157689e-118,161.616161616162,0
-4.96015151515151,6.4,4.67931077687595e-114,169.69696969697,0
-4.78611111111111,6.4,1.41392968589753e-109,177.777777777778,0
-4.61207070707071,6.4,2.86437837350855e-105,185.858585858586,0
-4.4380303030303,6.4,3.89035837103382e-101,193.939393939394,0
-4.2639898989899,6.4,3.54246430360806e-97,202.020202020202,0
-4.08994949494949,6.4,2.16260900060617e-93,210.10101010101,0
-3.91590909090909,6.4,8.85130244005681e-90,218.181818181818,0
-3.74186868686869,6.4,2.42880700535287e-86,226.262626262626,0
-3.56782828282828,6.4,4.46822967886965e-83,234.343434343434,0
-3.39378787878788,6.4,5.51105359971698e-80,242.424242424242,0
-3.21974747474748,6.4,4.55712000388482e-77,250.50505050505,0
-3.04570707070707,6.4,2.52640532766917e-74,258.585858585859,0
-2.87166666666667,6.4,9.39014814204096e-72,266.666666666667,0
-2.69762626262626,6.4,2.3399091702644e-69,274.747474747475,0
-2.52358585858586,6.4,3.90915952902456e-67,282.828282828283,0
-2.34954545454545,6.4,4.37851983733589e-65,290.909090909091,0
-2.17550505050505,6.4,3.28802333493086e-63,298.989898989899,0
-2.00146464646465,6.4,1.65544998220329e-61,307.070707070707,0
-1.82742424242424,6.4,5.5884965725218e-60,315.151515151515,0
-1.65338383838384,6.4,1.26511555664594e-58,323.232323232323,0
-1.47934343434343,6.4,1.92115952794386e-57,331.313131313131,0
-1.30530303030303,6.4,1.95856321753685e-56,339.393939393939,0
-1.13126262626263,6.4,1.34307015045453e-55,347.474747474748,0
-0.957222222222222,6.4,6.2538829770785e-55,355.555555555556,0
-0.783181818181818,6.4,3.22719164262055e-54,363.636363636364,0
-0.609141414141414,6.4,3.86091058297457e-52,371.717171717172,0
-0.435101010101009,6.4,8.19719143725991e-50,379.79797979798,0
-0.261060606060605,6.4,1.21501062378243e-47,387.878787878788,0
-0.0870202020202022,6.4,1.23881365202271e-45,395.959595959596,0
0.0870202020202022,6.4,8.7229119415358e-44,404.040404040404,0
0.261060606060607,6.4,4.26867994562975e-42,412.121212121212,0
0.435101010101011,6.4,1.46013883827026e-40,420.20202020202,0
0.609141414141414,6.4,3.5019982005665e-39,428.282828282828,0
0.783181818181818,6.4,5.88549792254067e-38,436.363636363636,0
0.957222222222223,6.4,6.90179227353811e-37,444.444444444444,0
1.13126262626263,6.4,5.61055477794319e-36,452.525252525253,0
1.30530303030303,6.4,3.13874494725579e-35,460.606060606061,0
1.47934343434343,6.4,1.20029225693411e-34,468.686868686869,0
1.65338383838384,6.4,3.12022427559019e-34,476.767676767677,0
1.82742424242424,6.4,5.49048600178441e-34,484.848484848485,0
2.00146464646465,6.4,6.51970350033248e-34,492.929292929293,0
2.17550505050505,6.4,5.21319363387594e-34,501.010101010101,0
2.34954545454545,6.4,2.80285879511279e-34,509.090909090909,0
2.52358585858586,6.4,1.0122573892123e-34,517.171717171717,0
2.69762626262626,6.4,2.45407246301109e-35,525.252525252525,0
2.87166666666667,6.4,3.99210097259814e-36,533.333333333333,0
3.04570707070707,6.4,4.35621092883398e-37,541.414141414141,0
3.21974747474748,6.4,3.1880697120116e-38,549.494949494949,0
3.39378787878788,6.4,1.56460513413896e-39,557.575757575758,0
3.56782828282828,6.4,5.14878943729823e-41,565.656565656566,0
3.74186868686869,6.4,1.1360798516607e-42,573.737373737374,0
3.91590909090909,6.4,1.68080714942759e-44,581.818181818182,0
4.0899494949495,6.4,1.66772067606789e-46,589.89898989899,0
4.2639898989899,6.4,1.11126676759734e-48,597.979797979798,0
4.4380303030303,6.4,5.01341970571164e-51,606.060606060606,0
4.61207070707071,6.4,1.60320729681485e-53,614.141414141414,0
4.78611111111111,6.4,4.46060321208313e-56,622.222222222222,0
4.96015151515152,6.4,1.59708671389895e-58,630.30303030303,0
5.13419191919192,6.4,6.78815167652231e-61,638.383838383838,0
5.30823232323232,6.4,2.33286003873905e-63,646.464646464646,0
5.48227272727273,6.4,5.57860541954476e-66,654.545454545455,0
5.65631313131313,6.4,9.00160748333543e-69,662.626262626263,0
5.83035353535354,6.4,9.74909297182357e-72,670.707070707071,0
6.00439393939394,6.4,7.08216495115236e-75,678.787878787879,0
6.17843434343434,6.4,3.4550582342706e-78,686.868686868687,0
6.35247474747475,6.4,1.14106385850971e-81,694.949494949495,0
6.52651515151515,6.4,2.6684712769073e-85,703.030303030303,0
6.70055555555556,6.4,5.40039106134745e-89,711.111111111111,0
6.87459595959596,6.4,1.39454846580835e-92,719.191919191919,0
7.04863636363636,6.4,4.28432697464488e-96,727.272727272727,0
7.22267676767677,6.4,1.06857174124031e-99,735.353535353535,0
7.39671717171717,6.4,1.85681414305131e-103,743.434343434344,0
7.57075757575758,6.4,2.1777382261442e-107,751.515151515152,0
7.74479797979798,6.4,1.71433509609067e-111,759.59595959596,0
7.91883838383839,6.4,9.04953876484455e-116,767.676767676768,0
8.09287878787879,6.4,3.20278691798551e-120,775.757575757576,0
8.26691919191919,6.4,7.59956447177769e-125,783.838383838384,0
8.4409595959596,6.4,1.20894465253229e-129,791.919191919192,0
8.615,6.4,1.28937977056772e-134,800,0
-8.615,6.53626262626263,3.67648640044544e-232,0,6.32676152118984
-8.4409595959596,6.53626262626263,9.02003959775261e-226,8.0808080808081,6.32676152118984
-8.26691919191919,6.53626262626263,1.48525587640996e-219,16.1616161616162,6.32676152118984
-8.09287878787879,6.53626262626263,1.65339827944202e-213,24.2424242424242,6.32676152118984
-7.91883838383838,6.53626262626263,1.32409445993972e-207,32.3232323232323,6.32676152118984
-7.74479797979798,6.53626262626263,1.11682210121625e-201,40.4040404040404,6.32676152118984
-7.57075757575758,6.53626262626263,1.79011895324963e-195,48.4848484848485,6.32676152118984
-7.39671717171717,6.53626262626263,3.35552703802531e-189,56.5656565656566,6.32676152118984
-7.22267676767677,6.53626262626263,4.67865034209042e-183,64.6464646464646,6.32676152118984
-7.04863636363636,6.53626262626263,4.59659609446507e-177,72.7272727272727,6.32676152118984
-6.87459595959596,6.53626262626263,3.63139153973111e-171,80.8080808080808,6.32676152118984
-6.70055555555556,6.53626262626263,3.32342043956708e-165,88.8888888888889,6.32676152118984
-6.52651515151515,6.53626262626263,3.88146477316241e-159,96.969696969697,6.32676152118984
-6.35247474747475,6.53626262626263,3.98197309479216e-153,105.050505050505,6.32676152118984
-6.17843434343434,6.53626262626263,2.90886052611222e-147,113.131313131313,6.32676152118984
-6.00439393939394,6.53626262626263,1.44034563983985e-141,121.212121212121,6.32676152118984
-5.83035353535354,6.53626262626263,4.79069524354822e-136,129.292929292929,6.32676152118984
-5.65631313131313,6.53626262626263,1.06863912451291e-130,137.373737373737,6.32676152118984
-5.48227272727273,6.53626262626263,1.5982517097751e-125,145.454545454545,6.32676152118984
-5.30823232323232,6.53626262626263,1.60258195838618e-120,153.535353535354,6.32676152118984
-5.13419191919192,6.53626262626263,1.07733983194747e-115,161.616161616162,6.32676152118984
-4.96015151515151,6.53626262626263,4.85558950394352e-111,169.69696969697,6.32676152118984
-4.78611111111111,6.53626262626263,1.4671951508723e-106,177.777777777778,6.32676152118984
-4.61207070707071,6.53626262626263,2.97228504029465e-102,185.858585858586,6.32676152118984
-4.4380303030303,6.53626262626263,4.03691568525567e-98,193.939393939394,6.32676152118984
-4.2639898989899,6.53626262626263,3.67591577615942e-94,202.020202020202,6.32676152118984
-4.08994949494949,6.53626262626263,2.24407865868396e-90,210.10101010101,6.32676152118984
-3.91590909090909,6.53626262626263,9.18474809888166e-87,218.181818181818,6.32676152118984
-3.74186868686869,6.53626262626263,2.52030485628131e-83,226.262626262626,6.32676152118984
-3.56782828282828,6.53626262626263,4.63655652044443e-80,234.343434343434,6.32676152118984
-3.39378787878788,6.53626262626263,5.71866563110337e-77,242.424242424242,6.32676152118984
-3.21974747474748,6.53626262626263,4.72879551196597e-74,250.50505050505,6.32676152118984
-3.04570707070707,6.53626262626263,2.6215798900642e-71,258.585858585859,6.32676152118984
-2.87166666666667,6.53626262626263,9.74389310531718e-69,266.666666666667,6.32676152118984
-2.69762626262626,6.53626262626263,2.42805803549374e-66,274.747474747475,6.32676152118984
-2.52358585858586,6.53626262626263,4.05642498650669e-64,282.828282828283,6.32676152118984
-2.34954545454545,6.53626262626263,4.54346677710401e-62,290.909090909091,6.32676152118984
-2.17550505050505,6.53626262626263,3.41188887045074e-60,298.989898989899,6.32676152118984
-2.00146464646465,6.53626262626263,1.71781318236588e-58,307.070707070707,6.32676152118984
-1.82742424242424,6.53626262626263,5.79901950546739e-57,315.151515151515,6.32676152118984
-1.65338383838384,6.53626262626263,1.3127713249349e-55,323.232323232323,6.32676152118984
-1.47934343434343,6.53626262626263,1.99352015451746e-54,331.313131313131,6.32676152118984
-1.30530303030303,6.53626262626263,2.03231278237072e-53,339.393939393939,6.32676152118984
-1.13126262626263,6.53626262626263,1.39356465446545e-52,347.474747474748,6.32676152118984
-0.957222222222222,6.53626262626263,6.46507360786391e-52,355.555555555556,6.32676152118984
-0.783181818181818,6.53626262626263,2.3577814641441e-51,363.636363636364,6.32676152118984
-0.609141414141414,6.53626262626263,9.47976150590497e-50,371.717171717172,6.32676152118984
-0.435101010101009,6.53626262626263,1.89525685581461e-47,379.79797979798,6.32676152118984
-0.261060606060605,6.53626262626263,2.77624879398724e-45,387.878787878788,6.32676152118984
-0.0870202020202022,6.53626262626263,2.80401367256767e-43,395.959595959596,6.32676152118984
0.0870202020202022,6.53626262626263,1.95366845762222e-41,404.040404040404,6.32676152118984
0.261060606060607,6.53626262626263,9.44196845937763e-40,412.121212121212,6.32676152118984
0.435101010101011,6.53626262626263,3.18451491788463e-38,420.20202020202,6.32676152118984
0.609141414141414,6.53626262626263,7.52621998905332e-37,428.282828282828,6.32676152118984
0.783181818181818,6.53626262626263,1.24719326692285e-35,436.363636363636,6.32676152118984
0.957222222222223,6.53626262626263,1.44458599627747e-34,444.444444444444,6.32676152118984
1.13126262626263,6.53626262626263,1.162550311138e-33,452.525252525253,6.32676152118984
1.30530303030303,6.53626262626263,6.4537162459241e-33,460.606060606061,6.32676152118984
1.47934343434343,6.53626262626263,2.45410152755549e-32,468.686868686869,6.32676152118984
1.65338383838384,6.53626262626263,6.35425760889128e-32,476.767676767677,6.32676152118984
1.82742424242424,6.53626262626263,1.11507022101146e-31,484.848484848485,6.32676152118984
2.00146464646465,6.53626262626263,1.32164959799158e-31,492.929292929293,6.32676152118984
2.17550505050505,6.53626262626263,1.05549393477473e-31,501.010101010101,6.32676152118984
2.34954545454545,6.53626262626263,5.67018585335796e-32,509.090909090909,6.32676152118984
2.52358585858586,6.53626262626263,2.04669117525778e-32,517.171717171717,6.32676152118984
2.69762626262626,6.53626262626263,4.96014579167756e-33,525.252525252525,6.32676152118984
2.87166666666667,6.53626262626263,8.06691288388947e-34,533.333333333333,6.32676152118984
3.04570707070707,6.53626262626263,8.80133326782602e-35,541.414141414141,6.32676152118984
3.21974747474748,6.53626262626263,6.44056594990574e-36,549.494949494949,6.32676152118984
3.39378787878788,6.53626262626263,3.16062371213774e-37,557.575757575758,6.32676152118984
3.56782828282828,6.53626262626263,1.04005361678024e-38,565.656565656566,6.32676152118984
3.74186868686869,6.53626262626263,2.29484759466434e-40,573.737373737374,6.32676152118984
3.91590909090909,6.53626262626263,3.39542154097163e-42,581.818181818182,6.32676152118984
4.0899494949495,6.53626262626263,3.37073315261349e-44,589.89898989899,6.32676152118984
4.2639898989899,6.53626262626263,2.25310689942005e-46,597.979797979798,6.32676152118984
4.4380303030303,6.53626262626263,1.03520846835462e-48,606.060606060606,6.32676152118984
4.61207070707071,6.53626262626263,3.6398603252982e-51,614.141414141414,6.32676152118984
4.78611111111111,6.53626262626263,1.38005060185852e-53,622.222222222222,6.32676152118984
4.96015151515152,6.53626262626263,7.05711012487466e-56,630.30303030303,6.32676152118984
5.13419191919192,6.53626262626263,3.42523385927919e-58,638.383838383838,6.32676152118984
5.30823232323232,6.53626262626263,1.20957150445153e-60,646.464646464646,6.32676152118984
5.48227272727273,6.53626262626263,2.90621351693028e-63,654.545454545455,6.32676152118984
5.65631313131313,6.53626262626263,4.69330880093557e-66,662.626262626263,6.32676152118984
5.83035353535354,6.53626262626263,5.08436694737483e-69,670.707070707071,6.32676152118984
6.00439393939394,6.53626262626263,3.69635729307201e-72,678.787878787879,6.32676152118984
6.17843434343434,6.53626262626263,1.81125034686497e-75,686.868686868687,6.32676152118984
6.35247474747475,6.53626262626263,6.13512341744125e-79,694.949494949495,6.32676152118984
6.52651515151515,6.53626262626263,1.63071303853503e-82,703.030303030303,6.32676152118984
6.70055555555556,6.53626262626263,4.89027060826922e-86,711.111111111111,6.32676152118984
6.87459595959596,6.53626262626263,1.93295077404322e-89,719.191919191919,6.32676152118984
7.04863636363636,6.53626262626263,6.93328496711251e-93,727.272727272727,6.32676152118984
7.22267676767677,6.53626262626263,1.78506193731027e-96,735.353535353535,6.32676152118984
7.39671717171717,6.53626262626263,3.11915957875427e-100,743.434343434344,6.32676152118984
7.57075757575758,6.53626262626263,3.6617341838288e-104,751.515151515152,6.32676152118984
7.74479797979798,6.53626262626263,2.88301328937496e-108,759.59595959596,6.32676152118984
7.91883838383839,6.53626262626263,1.52191074897207e-112,767.676767676768,6.32676152118984
8.09287878787879,6.53626262626263,5.38632785323281e-117,775.757575757576,6.32676152118984
8.26691919191919,6.53626262626263,1.278067467944e-121,783.838383838384,6.32676152118984
8.4409595959596,6.53626262626263,2.03315997951291e-126,791.919191919192,6.32676152118984
8.615,6.53626262626263,2.168432939327e-131,800,6.32676152118984
-8.615,6.67252525252525,1.08049113659448e-227,0,12.6535230423797
-8.4409595959596,6.67252525252525,2.65053514289333e-221,8.0808080808081,12.6535230423797
-8.26691919191919,6.67252525252525,4.36035646207933e-215,16.1616161616162,12.6535230423797
-8.09287878787879,6.67252525252525,4.81676104613582e-209,24.2424242424242,12.6535230423797
-7.91883838383838,6.67252525252525,3.61257091677908e-203,32.3232323232323,12.6535230423797
-7.74479797979798,6.67252525252525,2.01544971176976e-197,40.4040404040404,12.6535230423797
-7.57075757575758,6.67252525252525,1.3516641401654e-191,48.4848484848485,12.6535230423797
-7.39671717171717,6.67252525252525,1.70898026776749e-185,56.5656565656566,12.6535230423797
